Key,English [en-GB]
002_t,Gain <sprite name=XP1> for each time you Retaliate <nobr>this round.</nobr>
004_b,"Any enemy who targets one of your adjacent allies with an attack this round targets you with that attack instead, regardless of the attack's range."
007_b,"On the next six sources of damage from attacks targeting you, gain <nobr>Shield <sprite name=Shield> *BShield*.</nobr>"
013_b,Add <nobr>+1 Attack <sprite name=Attack></nobr> to all of your attacks this round.
015_b,"On the next three sources of damage to you, suffer no damage instead."
016_b,"If the movement was in a straight line, perform"
022_t,Kill one adjacent normal enemy <nobr>with  STUN <size=130%><voffset=-1.5><sprite name=Stun></voffset></size></nobr>.
023_b,You may treat all <nobr>Move <sprite name=Move></nobr> abilities as <nobr>Attack <sprite name=Attack></nobr> abilities of equal value.
026_b,"Add +3 <nobr>Attack <sprite name=Attack></nobr> to all your attacks targeting enemies with <nobr>DISARM <sprite name=Disarm></nobr>, <nobr>IMMOBILIZE <sprite name=Immobilize></nobr> or <nobr>STUN <sprite name=Stun></nobr> this round."
030_t_1,Create one 6 damage trap in an adjacent empty hex.
030_t_2,Gain <sprite name=XP2> when the trap is sprung by an enemy.
031_t,Summon Decoy
037_b,One adjacent ally may Recover <nobr>Recover <sprite name=Recover></nobr> all their discarded cards.
040_b,You and all adjacent allies add <nobr>+1 Attack <sprite name=Attack></nobr> to all your attacks this round.
043_b_1,One ally within <nobr>Range <sprite name=Range> 2</nobr> may <nobr>Recover <sprite name=Recover></nobr> one of their discarded cards.
043_b_2,Up to two discarded cards instead.
043_t,Create one 2 damage POISON <size=130%><voffset=-1.5><sprite name=Poison></voffset></size> trap in an adjacent empty hex.
044_t,"On your next four Heal actions, add <nobr>+2 Heal <sprite name=Heal></nobr>."
045_b,One ally within <nobr>Range <sprite name=Range> 3</nobr> may <nobr>Recover <sprite name=Recover></nobr> one of their burned cards.
047_b,Create one STUN <size=130%><voffset=-1.5><sprite name=Stun></voffset></size> trap in an adjacent empty hex.
049_t,Summon Battle Bot
051_t,One adjacent ally may <nobr>Refresh <sprite name=Refresh></nobr> one of their consumed Small Items <sprite name=InvSmallItem>.
052_t_1,Kill all enemies in the targeted area whose current hit point value is equal to or <nobr>less than 5</nobr>. 
052_t_2,Gain <sprite name=XP1> for each enemy killed.
053_b,"At the end of your next four turns, one ally within <nobr>Range <sprite name=Range> 3</nobr> may <nobr>Recover <sprite name=Recover></nobr> one of their discarded cards."
053_t,Create one 4 damage <nobr>MUDDLE <sprite name=Muddle></nobr> trap in an adjacent hex.
054_t,"At the end of your next five turns, perform an <nobr>""Attack <sprite name=Attack>2,</nobr> <nobr>Range <sprite name=Range> 5""</nobr> action."
055_t,Summon Kill Bot
057_t,All summoned allies within <nobr>Range <sprite name=Range> 3</nobr> <nobr>may perform</nobr>
058_b_1,All adjacent allies add <nobr>+2 Attack <sprite name=Attack></nobr> to all their attacks this round.
058_b_2,All adjacent allies suffer 2 damage.
058_t,Suffer 2 damage.
060_b,One ally within <nobr>Range <sprite name=Range> 3</nobr> may choose any unequipped card from their class up to their current level and add it to their hand. This effect lasts until the end of the Scenario.
060_t,"One adjacent ally may <nobr>Recover <sprite name=Recover></nobr> up to two of their burned cards, then they burn two cards."
062_t,"Additionally, target all enemies <nobr>on the path</nobr> to the primary target."
063_t,Recover <nobr>Recover <sprite name=Recover></nobr> all of your <nobr>burned cards.</nobr>
066_b,"On the next two sources of damage to you, suffer <nobr>no damage instead.</nobr>"
069_t_1,"On your next four attacks, <nobr>add +*TActive* Attack <sprite name=Attack>.</nobr>"
069_t_1_alt,"On your next four attacks, <nobr>add +2 Attack <sprite name=Attack>.</nobr>"
069_t_2,Add +2 Attack <sprite name=Attack> instead.
071_t,Summon Mystic Ally
076_b_1,where X is half of that ally's maximum hit point value <nobr>(rounded down).</nobr>
076_b_2,X is that ally's maximum hit point value instead.
079_b,"On the next five melee attacks targeting you, gain <nobr>Retaliate <sprite name=Retaliate> *BRetaliate*.</nobr>"
080_b,Summon Burning Avatar
080_t,"All enemies adjacent to the <nobr>target suffer 2 damage, <sprite name=XP1>.</nobr>"
082_t,Recover <sprite name=Recover> up to two of your <nobr>burned cards.</nobr>
084_t_1,Loot <sprite name=Loot> 3 instead. <sprite name=XP1>
084_t_2,You may not loot more than four money tokens or treasure tiles with this action.
085_b,"On the next three sources of damage from attacks targeting you, suffer no damage instead and gain <nobr>Retaliate <sprite name=Retaliate> 3,</nobr> <nobr>Range <sprite name=Range> 3.</nobr>"
086_b_1,Choose a hex within <nobr>Range <sprite name=Range> 4.</nobr>
086_b_2,Target all enemies within <nobr>Range <sprite name=Range> 4</nobr> of the chosen hex and pull them toward it
087_t_1,Target all enemies in the same room as you
087_t_2,All allies in the same room as you suffer 2 damage.
088_b,"On your next four attacks targeting enemies adjacent to none of their allies, add <nobr>+2 Attack <sprite name=Attack>.</nobr>"
088_t,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> when the target is adjacent to any <nobr>of your allies.</nobr>
090_t,"On your next attack while <nobr>INVISIBLE <sprite name=Invisible></nobr>, double the value of the attack and gain <sprite name=XP2>."
091_t,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> when the target is adjacent to none of its allies.
092_t,Disarm one adjacent trap.
097_b_1,Force one adjacent enemy to perform
097_b_2,"with you controlling the action, and ending in a hex adjacent to you."
097_t_1,Add <nobr>+1 Attack <sprite name=Attack></nobr> for each of your allies adjacent to the target.
097_t_2,"Add <nobr>+2 Attack <sprite name=Attack></nobr> instead, <sprite name=XP1>."
098_b,"The next time you suffer damage this round, suffer no damage instead."
098_t,Add +X Attack <sprite name=Attack> where X is double the Shield value of the target.
099_b,Loot <sprite name=Loot> every hex you enter with this action.
100_t,Add WOUND <sprite name=Wound> and gain <sprite name=XP1> when the target is adjacent to any <nobr>of your allies.</nobr>
103_b,Add +2 Attack <sprite name=Attack> to all your attacks this round targeting enemies adjacent to none of their allies.
104_b,Gain advantage on all of your attacks this round.
105_t_1,Add <nobr>+3 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> when the target is adjacent to any <nobr>of your allies.</nobr>
105_t_2,Add <nobr>+3 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> when the target is adjacent to none <nobr>of its allies.</nobr>
106_b,"On your next six attacks targeting enemies with <nobr>DISARM <sprite name=Disarm></nobr>, <nobr>IMMOBILIZE <sprite name=Immobilize></nobr> or <nobr>STUN <sprite name=Stun></nobr>, <nobr>add +2 Attack <sprite name=Attack>.</nobr>"
107_t,Kill one adjacent normal enemy that is adjacent to none of its allies and also adjacent to any <nobr>of your allies.</nobr>
108_t,Add +2 Attack <size=130%><voffset=-1.5><sprite name=Attack></voffset></size> to all your attacks targeting enemies with <nobr>POISON <sprite name=Poison>.</nobr>
110_t,Add +4 Attack <sprite name=Attack> and gain <sprite name=XP2> when the target is adjacent to any of your allies.
111_b,"On your next attack targeting an enemy adjacent to none of its allies and also adjacent to any of your allies, double the value of the attack and gain <sprite name=XP2>."
111_t,Target one enemy within <nobr>Range <sprite name=Range> 3</nobr> to suffer the effects of the <nobr>disarmed trap</nobr>.
113_b,Kill one adjacent enemy whose current hit point value is equal or less than 3.
114_b,"Force one adjacent normal or elite enemy to perform its turn this round as if its allies were enemies and its enemies were allies, with you controlling the actions."
115_t,Add <nobr>POISON <sprite name=Poison></nobr> and <nobr>WOUND <sprite name=Wound></nobr> to all your attacks.
116_b,"On the next six melee attacks targeting you, gain <nobr>Retaliate <sprite name=Retaliate> *BRetaliate*.</nobr>"
118_b,Create two single-hex obstacles in empty hexes adjacent to you.
119_b,All adjacent allies and enemies suffer *BDamage* damage.
120_t,All allies and enemies adjacent to the target suffer 1 damage.
121_t,"On your next four ranged Attack actions, gain ADD TARGET <size=130%><voffset=-1.5><sprite name=Target>."
122_t,Destroy one adjacent obstacle.
123_b,All allies suffer<nobr> *BShieldSubDamage* damage</nobr>.
123_t_2,All adjacent allies suffer <nobr>*TDamage* damage</nobr>.
124_b_1,All adjacent allies and enemies suffer <nobr>*BDamage1* damage</nobr>.
124_b_2,All adjacent allies and enemies suffer <nobr>*BDamage2* damage</nobr>.
124_b_3,"<nobr>2 damage instead, <sprite name=XP1></nobr>"
125_t,<nobr>MUDDLE <size=130%><voffset=-1.5><sprite name=Muddle></voffset></size></nobr> all allies and enemies in the targeted area.
127_b,Add +1 Attack <sprite name=Attack> to all of your ranged attacks this round.
127_t,"You may push the target into hexes containing obstacles. In each case, destroy the obstacle, the target suffers 2 damage, and you gain <sprite name=XP1>."
128_b,Add +2 Attack <sprite name=Attack> to all of your melee attacks this round.
129_b,"On your next six ranged Attack actions when Air <sprite name=Air> is strong or waning, consume Air <sprite name=ConsumeAir> to add <nobr>+2 Range <sprite name=Range>.</nobr>"
130_t,Target all enemies adjacent to the destroyed obstacle
131_t,Affect all allies in the targeted area
132_b,Destroy all obstacles and disarm all traps moved through.
132_t_1,Move one adjacent single-hex obstacle to an empty hex within <nobr>Range <sprite name=Range> 4</nobr>.
132_t_2,Target all enemies adjacent to the moved obstacle
134_t_1,Create three single-hex obstacles in empty hexes within <nobr>Range <sprite name=Range> 4</nobr>.
134_t_2,All allies and enemies adjacent to one or more of the created obstacles suffer 2 damage.
136_t_1,Kill one normal enemy within <nobr>Range <sprite name=Range> 4.</nobr>
136_t_2,Create one single-hex obstacle in the hex in which the enemy died.
137_b,"On your next four melee attacks, when possible, destroy an adjacent obstacle to add <nobr>+3 Attack <sprite name=Attack></nobr>."
138_t,Create one 2 damage STUN <size=130%><voffset=-1.5><sprite name=Stun></voffset></size> trap in an adjacent empty hex.
139_t,IMMOBILIZE <size=130%><voffset=-1.5><sprite name=Immobilize></voffset></size> all allies and enemies in the targeted area.
140_t_1,Create one three-hex triangular obstacle in empty hexes within <nobr>Range <sprite name=Range> 3</nobr>.
140_t_2,Target all enemies adjacent to the obstacle
